"","business_id","Monday_open","Monday_close","Tuesday_open","Tuesday_close","Wednesday_open","Wednesday_close","Thursday_open","Thursday_close","Friday_open","Friday_close","Saturday_open","Saturday_close","Sunday_open","Sunday_close"
"19","z8-_6l5EhX5NuPfWzJYQMA","7","21","7","21","7","21","7","21","7","21","7","21","8","18"
"20","qbZJh9lR0gh4Wca96NQv9g",NA,"","11","21","11","21","11","21","11","21","11","21","11","21"
"21","buTr0hMiyDbjQvFJgm-Eew","7","23","7","23","7","23","7","23","7","0","8","0","8","23"
"22","Mf9io8WkMyGautXuSSfGTg",NA,"","11","21","11","21","11","21","11","21","11","21","11","21"
"23","3ME_CSB1bo4F0QMhQRUeOA","11","22","11","22","11","22","11","22","11","23","11","23","11","22"
"24","Q2vefh0tGhtCGQDK1FI7cw",NA,"","10","17","10","17","10","17","10","17","10","17","12","17"
"25","jI0NfabCGtRZWH5S0jl6Pw","11","19","11","19","11","19","11","19","11","21","12","21","12","19"
"26","aTAe3uMYBEwU0FbTMFEI5g",NA,"","10","19","10","19","10","19","10","19","10","18","10","18"
"27","XDv29FffNd2dWnDOtZP-wg",NA,"","16","20","16","20","16","20","16","20","16","20","16","20"
"28","3_RuVmLNa-1GNHOMvl_bsg","11","20","11","20","11","20","11","20","11","21","11","21","12","20"
"29","5eq56X-e9YbAKmHgUOyXSg","11","22","11","22","11","22","11","22","11","22","12","22","12","21"
"30","L-Stk9lkVfPSFQlrFukCwA","9","22","10","22","10","22","10","22","10","22","10","22","10","22"
"31","OfA_4cHgvlknHMcn0qNs2w","11","23","11","23","11","23","11","23","11","23","11","23","11","23"
"32","Fl_7YDOMt58rTNHa7p2G4w",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"33","bP6goJODwRnM3AVy45Kn9w","11","21","11","21","11","21","11","21","11","21","12","22","12","19"
"34","vecuat0jOia-CJveW3ngDw",NA,"","11","16","11","21","11","21","11","21","11","21","11","21"
"35","yCeENvVAGQQ0PeeWU0Pl2g","6","22","6","22","6","22","6","22","6","22","6","22","6","22"
"36","_8Hejg5Q-_izIhLvq2ocnw","11","20","11","20","11","20","11","20","11","20","11","20",NA,""
"37","xSLdQjPgMhBrNIEtUgdWUA",NA,"","11","21","11","21","11","21","11","22","12","22","12","21"
"38","zY12NvWB5QKNuLh9tbLEsA","6","18","6","18","6","18","6","18","6","18","8","18",NA,""
"39","fDJm1OQWJg6XyuVTcxoemg","6","20","6","20","6","20","6","20","6","20","7","20",NA,""
"40","r_sOAVfNPaXrpjznZpuxeg","12","21","12","21","12","20","12","21","12","21","12","21","12","21"
"41","Pk4ZwXwUU50BDn5gqw_rKg","11","21","11","21","11","21","11","22","11","22","11","22","11","21"
"42","V0rGM46G0x2cy9RfUt1qPQ","11","22","11","22","11","22","11","22","11","0","12","0","12","22"
"43","diB_y_0tPzz-OAe5xgFXtw",NA,"","6","22","6","22","6","22","6","18","10","18",NA,""
"44","HVpIq8w2SMZK9MQT9u3yng","11","21","11","21","11","21","11","21","11","22","11","22","11","21"
"45","v7w5h6JMrhumvoJA8n5VZQ","5","22","5","22","5","22","5","22","5","22","5","22","6","22"
"46","ZaMMUcOIngBCgxuKxFzfqg",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"47","y030N-DD6G7lfWHO4A6ezw","12","21","12","21","12","21","12","21","12","22","12","22","12","21"
"48","fD9EopsUWvimsi4eaS7uMA",NA,"",NA,"","5","15","5","11","5","15","7","15","7","15"
"49","SHHxhkzbKBKvv2Mqe2Ylrw",NA,"",NA,"","6","14","6","14","6","14","6","14",NA,""
"50","qxnHt71f5BHVmzWKDTRCyA",NA,"","12","15","17","19","17","19","17","21","17","21","10","20"
"51","m_a0-8_wR1ypvZzDGeSIgA","11","23","11","23","11","23","11","23","11","23","11","23","11","23"
"52","7IPhANX229XHo6I5w_BzxA","9","19","9","19","9","19","9","19","9","19","9","19","9","19"
"53","iDcT8noFyv1sEVzzEWq1ow","11","22","11","22","11","22","11","22","11","22","11","22","11","22"
"54","GyglPdfJM89if_5XSBIN7Q","8","14",NA,"",NA,"",NA,"","8","14","8","14","8","14"
"55","Ieelu69Y23nbjKG3OGfwnw","7","22","7","22","7","22","7","22","7","23","7","23","7","22"
"56","IFB2K3BEZ2L_Mv5AbUD26Q","11","22","11","22","11","22","11","22","11","0","11","0","11","21"
"57","_WTQPEX3oNVT8cSz9UKsFQ","17","22","17","22",NA,"","17","22","17","22","17","22","17","22"
"58","fBvQQUk1-V9IUA8PbuYFWg",NA,"","10","18","10","18","10","18","10","18",NA,"",NA,""
"59","bBNCUzEJZn8ASQ5LNWOHEg","6","21","6","21","6","21","6","21","6","21","7","21","7","21"
"60","LjQ_z_eYTvbPkdnxD_Ucrw","17","21","17","21","17","21","17","21","17","22","17","22","17","21"
"61","9Bt9MMtmjPB6IykEMrFB7A","11","1","11","1","11","1","11","1","11","1","11","1","10","1"
"62","C1Jkjsqoz1AsYJy28IosQg","8","21","8","21","8","21","8","21","8","21","8","21","8","21"
"63","lyhNDfX8UatlRO5H3Kfccg",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"64","FJ-r3hOMbcq0p7Z5yH9oew",NA,"","11","22","11","22","11","20","11","23","11","23","11","22"
"65","AaNj_9KNy9t1H1cu1NCNLQ","11","21","11","21","11","21","11","21","11","21","12","21","12","21"
"66","Xz6aqENKlT4FU-ZBvrf_ow","8","21",NA,"","8","21","8","21","8","21","8","21","8","21"
"67","6Y0lQh4O-9JCutgyuMNq0g",NA,"",NA,"",NA,"","16","22","12","23","12","23","12","20"
"68","PZ9MNSdve4iiG87D2lh_Ow","11","19","11","19","11","19","11","19","11","19","12","17","12","16"
"69","SI0R_Fw7kFc_2bO_SX2rqw",NA,"","15","21","15","21","15","21","12","21","12","21","11","22"
"70","DgJSDdnPOvLCCyuryIh-3Q",NA,"",NA,"","12","20","12","20","12","20","12","20","12","20"
"71","UbP_JuB-zHHfLz2dvKe9yw","7","23","7","23","7","23","7","23","7","23","7","23","7","23"
"72","PP4IjZwLwBqFT3AlnEhajw","10","2","10","2","10","2","10","2","10","3","10","3","10","2"
"73","loRoCo53b30zgHZ_mIMatQ","5","21","5","21","5","21","5","21","5","22","5","22","6","21"
"74","aoH2NWs312ES--8bJTDJEw","6","23","6","23","6","23","6","23","6","0","6","0","6","23"
"75","_nzPPOik-fYE1i4LqKutIQ",NA,"","11","22","12","22","11","20","12","23","11","23","11","22"
"76","mw_qxZJraNu7Q6u0GkcMew",NA,"","18","22","18","22","18","22","18","22","18","22",NA,""
"77","fMZRia9Jq8CXgP3Wna6_gg","17","21","17","21","17","21","17","21","17","22","12","22","12","21"
"78","-Eg1pMVoWg8YR6-O4QuTxw","12","20","12","20","12","20","12","20","12","20","12","20","12","20"
"79","A2EQ-c_AaRoTmRGfO-HByQ",NA,"","12","21","12","21","11","16","12","21","12","21","12","21"
"80","N78TSwxdXeYZaKZsyvkryA","10","21","10","21","10","21","10","21","10","21","10","21","10","21"
"81","eOnMGfoj3YOxGPDjrDE-sg","10","21","10","21","10","21","10","21","10","21","10","21","10","21"
"82","n-_p1jwGCbZT9YaTbugsdw","11","22","11","22","11","22","11","22","11","23","11","23","11","23"
"83","6DcaOhKuSj6TzSDH9xHOnQ","11","22","11","22","11","22","11","22","11","22","11","22","11","21"
"84","F0n25o5lpaFJpEW8DFS8Ww",NA,"","6","14","6","14","6","14","6","14","6","14","6","14"
"85","88VLUjOxXyayaaSFS_K4Dw","8","20","8","20","8","20","8","20","8","20","8","20","9","18"
"86","BICRl8FOudjjloh1kc9Glw","9","2","9","2","9","2","9","2","9","2","9","2","9","2"
"87","XqaO85CV9Km7m_aQ3iIpRA","11","22","11","22","11","22","11","22","11","22","11","22","11","22"
"88","lUutRoZOtqOgrBuCLdpD-A","4","0","4","0","4","0","4","0","4","0","4","0","4","0"
"89","D_i7FJvOLcnu2uMZ-TGV3A",NA,"","11","19","11","19","11","19","11","20","11","20","11","19"
"90","KBSGRQOYZqR0reJR_2osBw",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"91","CKDU9kpeLQy56_X0urimfA","10","23","10","23","10","23","10","23","10","0","10","0","10","23"
"92","wVlxPWwFL-MrzCXim-UfWg","11","21","11","21","11","21","11","21","11","22","11","22","11","21"
"93","tcreyfoiR2NFMuEz0UClrg","12","22","12","22","12","22","12","23","12","0","12","0","12","21"
"94","Dz3GF5EvC3kzM-Jf_nLCDw",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"95","WBUbLi1jF1PWEU5uOpErYA","10","0","10","0","10","0","10","0","10","1","10","1","10","0"
"96","FYdXoYjeG8U59mhRqS7k5g","11","21","11","21","11","21","11","22","11","22","11","22","11","21"
"97","Eexegu4YJJd1kgCxjTHv8w","16","21","16","21","16","21","16","21","16","22","16","22","16","21"
"98","MYainrGOUR9OGC0eXqpkuA","14","2","14","2","14","2","14","2","14","2","14","2","14","2"
"99","F5_NonP-uoq4v3qplmjiLA",NA,"","16","21","16","21","16","21","12","22","14","22","12","21"
"100","E4ejoHJHIOvVhkca3kWRuQ","5","1","5","1","5","1","5","1","5","1","5","1","5","1"
"101","nDr6VgO_4N6N_XvAkMYFwA","11","0","11","0","11","0","11","0","11","1","11","1","11","23"
"102","FrFDIPBzRbFVfanxG4wcNQ","10","16","10","16","10","16","10","16","10","16","10","16","10","5"
"103","SRHQEF2-VPS_dl1_ZDH0gA","11","20","11","20","11","20","11","20","11","20","11","20","11","20"
"104","ynM2sHgvOG4DBJNDf1GKUQ","7","22","7","22","7","22","7","22","7","22","7","22","7","22"
"105","SlGmAWMubRSgU70Kswkmhw",NA,"","7","21","7","21","7","21","7","22","8","22","7","19"
"106","TDT5DiZ9preK1ad0AFLlDw","11","22","11","22","11","22","11","22","11","22","11","22","11","22"
"107","P0l1XH6KHqo6rk-R03SDXA","6","0","6","0","6","0","6","0","6","0","5","5","5","5"
"108","4YpDKbN5fjeduPVxE1f2Kw","11","22","11","22","11","22","11","22","11","23","11","22","11","22"
"109","hrCpuDlWfbFHHr9I8W6O-A","9","19","9","19","9","19","9","19","9","19","9","19","9","19"
"110","U4sddbqRBCS4Km-B7y3vBA","11","0","11","0","11","0","11","0","11","1","9","18","17","22"
"111","xY6MCYdKz339KxII-_ekFA","11","22","11","22","11","22","11","22","11","23","11","23","12","22"
"112","wat2sEhiFtl41azQ0UBjSg","5","3","5","3","5","3","5","3","5","3","5","3","5","3"
"113","PDwWsE6XYJPR83HrBSDFIg","16","20","16","20","16","20","16","20","16","20","11","20","11","17"
"114","573kl0gJWMq6LFNUyCudpw","8","22","8","22","8","22","8","22","8","22","8","22","8","22"
"115","42bggNbPWdC2_2vWh7w8nw","6","23","6","23","6","23","6","23","6","23","6","23","6","23"
"116","fDagm540ieAAh5G9LA27Yg","11","23","11","23","11","23","11","23","11","23","11","23","11","23"
"117","iq2n_LJgdZZ6FpoQZTpD2g","11","22","11","22","11","22","11","22","11","22","11","22","11","22"
"118","uUBBx7zH6JJYw4t7RsQRQA","5","21","5","21","5","21","5","21","5","21","5","20","6","20"
"119","t4Fd0eafK2KWFkV-afxxPA","11","21","11","21","11","21","11","21","11","21","11","21","11","20"
"120","D8-ssK_8w1WBajKCXUG5Uw","12","20","12","20","12","20","12","20","12","20","12","20","12","20"
"121","RzpmK85n8n8RE4Th8GFAog",NA,"","11","21","11","21","11","21","11","21","11","21","11","21"
"122","ORhpT5x2G4hewGQn7_oWmA","7","13","7","13","7","13","7","13","7","13","7","13","7","13"
"123","9JRIp0cJUtCV_-riFGmDnQ","9","20","9","20","9","20","9","20","9","20","9","20","9","20"
"124","or-Kyw7kmNin1pWbu2RLJw","7","14","7","14","7","14","7","14","7","14","8","14","8","14"
"125","sJNMic9YAN7rSy8RnHZ0qw","11","0","11","0","11","0","11","2","11","2","11","2","11","0"
"126","7lRIEq5_tBBR1T9d_vTDvQ","11","22","11","22","11","22","11","22","11","22","11","22","12","21"
"127","9c0TJ0m9Jq-PVyXUGzCT0A",NA,"",NA,"",NA,"",NA,"","9","14","9","14","9","14"
"128","fRi0NgK65Inn8x9Pak9yMg","6","21","6","21","6","21","6","21","6","21","6","21","7","21"
"129","zyBC3BUkH9klhPhMyQmxAQ",NA,"","10","21","10","21","11","19","10","21","10","21","10","21"
"130","_TTsA0J7UfNkVyjp45G79Q","11","20","11","20","11","20","11","20","11","20","11","20","11","20"
"131","P-5Ze1LN_KqrWBhha-kJTA",NA,"","7","14","7","14","7","14","7","14","7","14","7","14"
"132","GzlroXsuFyMDv8qS2VM3kw","5","21","5","21","5","21","5","21","5","21","7","21","7","20"
"133","q5VXVDhIeFlfofTn_PKxCQ","11","21","11","21","11","21","11","21","11","22","11","22","11","21"
"134","tjCT7EyHjDxnB5NCjxCnRg",NA,"",NA,"","16","20","16","20","16","20","16","20",NA,""
"135","5Bc3U8qu9sYE_hoC7IIorA","16","23","16","23","16","23","16","23","16","0","16","0","16","23"
"136","QLavaVgcy8u0gpYbSPLEqw","7","22","7","22","7","22","7","22","7","22","7","22","7","22"
"137","YIMAkkwK_8sBlUEnesSCZA",NA,"","11","21","11","21","11","21","11","21","11","21","11","19"
"138","_rt-Z934kfFzgG19nTrIcQ",NA,"","16","22","16","22","16","22","16","22","16","22","16","22"
"139","uMPGs_Jc1fBoxeGrCKqRiw","10","22","10","22","10","22","10","22","10","22","10","22","10","22"
"140","_6UaDhBtrc1iCwwUMmUXVA","9","22","9","22","9","22","9","22","9","22","9","22","9","22"
"141","ijXamJnJ1oVGKon_K-DYpA",NA,"","11","19","11","19","11","19","11","19","12","19","11","19"
"142","Ttdi1GklLuUL2Jfz25NAOQ","10","21","10","21","11","21","10","21","10","21","10","21","10","20"
"143","A-xLw4u4wYusT1A2N-1Vxw",NA,"","11","21","11","21","11","21","11","21","11","21","11","21"
"144","ZnZRIs5GmA9VGa_RwFsHaQ","11","22","11","22","11","22","11","23","11","23","11","23","11","22"
"145","zQRbAOceJyC7xVBBRny2HQ",NA,"","17","21","17","21","17","21","17","22","17","22",NA,""
"146","fTSKD2e4FTyUbHCl93t1ow","11","23","11","23","11","23","11","23","11","23","11","23","11","23"
"147","FuQExkWBNIYRXShoP9eiog","11","0","11","0","11","0","11","0","11","0","11","0","11","0"
"148","mvCO6pRpfMB0_1GLlwgZRw","11","21","11","21","11","21","11","21","11","21","11","21","12","21"
"149","Z1eRppVpwQXgzAxAc1unTA","10","1","10","1","10","1","10","1","10","2","10","2","10","1"
"150","jyBiQI0XtESTGHXODCFsJQ","11","22","11","22","11","22","11","22","11","23","10","23","10","22"
"151","PGp6WaZz8OdhyTc6cUbTUw",NA,"","11","21","11","21","11","20","12","22","11","22","12","21"
"152","LSmYTw4HvU0lDBK4Mg2KyQ","11","1","11","1","11","1","11","1","11","1","11","1","11","1"
"153","Wo7xNKWlq3i5q20VkBb6IQ","11","21","11","21","11","21","11","21","11","22","11","22","12","19"
"154","hZOYhhNMP_yiR7QJT4qawg",NA,"","17","21","17","21","17","21","17","21","13","21","13","21"
"155","EvVCF3mompCg3PPkpqip2A","11","21","11","21","11","21","11","21","11","21","11","21","11","21"
"156","r8pjKaza0jJLF9g0aeFVYA","11","21","11","21","11","21","11","21","11","21","11","21","11","21"
"157","Hfg_gRsUCEE1-CdFVxa0dw","11","2","11","2","11","2","11","2","11","4","11","4","11","0"
"158","IpNJfLJ6R3RjZJF_ucGaZA","10","23","10","23","10","23","10","23","10","23","10","23","10","23"
"159","Wb-S3JBo1ulOiDFv6t9YWg","4","21","4","21","4","21","4","21","4","21","4","21","4","21"
"160","J8Ha6yIvGoU-E31jnCq7Ew",NA,"","17","22","17","22","17","22","17","23","17","23","17","22"
"161","zZIWHmITwqaC8OhnPkjEIQ",NA,"","6","14","6","14","6","14","6","14","6","14","6","14"
"162","klSacu5BqdqzLuTz7bmteA","7","23","7","23","7","23","7","23","7","0","8","0","8","22"
"163","S72ahVmIDe-6TyUpE7vAbQ","6","22","6","22","6","22","6","22","6","22","6","22","6","22"
"164","jh07n3CFoc8gskZ8F-2g9w","11","21","11","21","11","21","11","21","11","21","11","21","11","21"
"165","bgiYHi1XjnOe_eZtcRq55g",NA,"",NA,"","8","19","8","19","8","19","8","19","8","19"
"166","xLiiQ-MV2ZVpYtu9Sht4hw","11","2","11","2","11","2","11","2","11","2","12","2",NA,""
"167","SM8FwMK0BKRez1pp45ooVQ",NA,"","12","21","12","21","12","21","12","21","12","21","14","21"
"168","i1y7wPxRsmZY974mgRH7aQ",NA,"","11","22","11","22","11","22","11","22","9","22","9","17"
"169","wL2bLGtwhEFaBk1nw4hfRg","6","22","6","22","6","22","6","22","6","22","6","22","7","22"
"170","xGXzsc-hzam-VArK6eTvtw","11","1","11","1","11","1","11","1","11","1","10","1","10","1"
"171","pKvT7mixZLS3bJoxzsVbPw",NA,"","12","23","12","23","12","23","12","0","12","0","12","0"
"172","rDLPdfI6TOsQlTf6AQaCTA","11","21","11","21","11","21","11","21","11","22","12","21","12","21"
"173","qrewjzLzfkSClGbc_1tbyA","10","21","10","21","10","21","10","21","10","21","10","21","10","21"
"174","w89ay2pZDTd-3cJsRlx22Q","12","22","12","22","12","22","12","22","12","22","12","22","12","22"
"175","At7qKvhtczclWA1TubAayQ","11","23","11","23","11","23","11","23","11","23","11","23","11","23"
"176","9H0qPMmkJnK0m22rJa_AZg","10","18","10","18","10","18","10","18","10","18","10","18","10","18"
"177","dynb8-X4bGTl_BSX9ZxlPA","12","20","12","20","12","20","12","20","12","21","12","21","12","19"
"178","YKwVqpzIUv97eH-67_8kHA",NA,"","5","20","5","20","5","20","5","20","5","20","5","20"
"179","5Ar1f4nBT7F3YHoo9wWPjQ","11","21","11","21","11","21","11","21","11","21","11","21","11","21"
"180","JcxSnoXt1q6LdSEgwJsdRQ","11","23","11","0","11","0","11","0","11","1","11","1","11","23"
"181","Twl0z_0h_JvJDKS2lxPjVA","10","22","11","21","11","21","11","21","11","22","11","22","10","22"
"182","WJJajrWufzhcnaP43jPIDA","11","21","11","21","11","21","11","21","11","21","11","21","11","21"
"183","LOiS95cRQbPrbRZ2-fMXbg","11","21","11","21","11","21","11","21","11","21","11","21","11","21"
"184","deSmaMe9aoGTPI_-hpucvA",NA,"","7","11","6","20","6","20","6","20","8","11","9","11"
"185","VpDVMno9lQFT9fmz2pWMjQ",NA,"",NA,"",NA,"",NA,"",NA,"","9","13","9","13"
"186","3JrdnGYWUzUzepplmi7HlA","6","15","6","15","6","15","6","15","6","15","6","15","6","15"
"187","mW4zQv4EMCWvBm-w2DDsmw","6","17","6","17","6","17","6","17","6","17","6","17",NA,""
"188","HNY4r-VnJq9JlnQQfdnyZQ","11","22","11","22","11","22","11","22","11","23","11","23","12","22"
"189","QNGH0tBF02aA8QrkVuBgDg",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"190","MASEgGo5kk8AKnMP4s5MRg","17","22","17","22","17","22","17","22","17","22","17","22","11","22"
"191","w3HSOOqJednBOYbO3fajvQ","17","0","17","0","17","0","17","0","17","0","17","0","17","22"
"192","JpnTfmWmeo0YQEEFdam_MQ",NA,"","10","17","10","20","10","20","10","20","10","20","11","20"
"193","XbB45YpsaI2qg2s3qBfYyg",NA,"","17","21","17","21","17","21","17","21","17","21",NA,""
"194","Mw9Locfp_Qc_T_QDyLR3cQ","11","2","11","2","11","2","11","2","11","2","11","2","12","2"
"195","wv314cvTXt7-0dr0SpCQAw","10","22","10","22","10","22","10","22","10","22","10","22","10","22"
"196","g93Zs0YcG5B7Zcz_YWXXkA","6","0","6","0","6","0","6","0","6","2","6","2","6","0"
"197","bkFK5XEQef-F0rTxmktfzg",NA,"","11","22","11","22","11","21","11","22","11","22","11","21"
"198","7lJXIkwfd-SmYGaQhg2zRg","11","22","11","22","11","22","11","22","11","23","10","23","10","22"
"199","Lcl3E29jwhK3HUYzvoA_1A","10","18","10","18","10","18","10","18","10","19","10","19","11","18"
"200","_mJEEcIYYhM3bE5ubIqe9Q","11","23","11","23","11","23","11","23","11","0","11","0","11","23"
"201","I8LnJbP17NHjXx3910cNvw","11","19","11","17","11","19","11","17","11","19","11","19",NA,""
"202","d3uHwiajWXVApH65sGKRiw","9","21","9","21","9","21","9","21","9","21","9","21","11","19"
"203","J4dYSpqy6wxB2c8XNgsIJw",NA,"",NA,"","11","20","11","20","11","20","11","20","11","16"
"204","kqhHw_9KA30_RYk66mMbJA","11","23","11","23","11","23","11","23","12","0","11","0","12","23"
"205","HxegWRjhi7m73mXRI8qQIg","17","22","17","22","17","22","17","22","17","22","17","22",NA,""
"206","DM_Ge3Feh-4xnIrHIDg4uw","6","23","6","23","6","23","6","23","6","23","7","23","7","23"
"207","OujJ-zcC0ne8370rJH0sPQ","10","22","10","22","10","22","10","22","10","23","10","23","11","22"
"208","uTMksZ_1M8hoZb1l1q7vcQ",NA,"","11","20","11","20","11","20","11","21","11","21",NA,""
"209","E5KQwzqPogBCoGFx-n1T6Q","8","19","8","19","8","19","8","19","8","19","10","17","11","16"
"210","hWRZaOk4JWUPFhcomdOLwA","11","21","11","21","11","21","11","21","11","22","11","22","11","21"
"211","08xNWFnK7VoMjjQSEqd2Qw",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"212","SqxZZ3GY-vKQnWj1PIserw",NA,"","16","22","16","22","16","23","16","0","16","23","10","13"
"213","tmvswVDr4n56EjWq_RptBA","16","22","16","22","16","22","16","22","16","22","16","22","16","22"
"214","-bCDjwbIm-2Hy1yOBwGZyQ","12","20",NA,"","12","20","12","20","12","20","12","21","12","21"
"215","V7EfFkNWGjSCZyyMP1yzVA",NA,"","5","20","5","20","5","20","5","20","6","20","6","20"
"216","7rn7i2hdfiGX1lWobZJXBQ",NA,"","11","20","11","20","11","20","11","21","11","21","11","20"
"217","M3fWBfeqejKJYB7CWH8qSA","7","20","7","20","7","20","7","20","7","20","7","20","7","20"
"218","lITQyMEAaDhLoeeviOGbSw","10","0","10","0","10","0","10","0","10","1","10","1","10","0"
"219","ArJWECiwKAANRo_IQWXFUQ","4","1","4","1","4","1","4","1","4","1","4","1","4","1"
"220","slBGJOdBV1KHzNoWf2e2FQ","10","0","10","0","10","0","10","0","10","0","10","0","10","0"
"221","_IFMCrheTi12RqiR7jvJUg","11","21","11","21","11","21","11","21","11","22","9","22","9","21"
"222","eDqlv7ssRSjgGZl25L6Zag",NA,"","11","21","11","21","11","19","11","22","11","22","9","21"
"223","2SbmgX5eHK4EMaIJmO1qbw",NA,"",NA,"",NA,"","11","15","11","15","11","15","11","15"
"224","fe82jepc2aVgTWwLGU9kVA","11","21","11","21","11","21","11","21","11","22","11","22","12","21"
"225","01FeyfdV1IozLwDntJW49A",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"226","ecqjHw3jeEApa9eZ622hAA",NA,"","11","23","11","23","11","23","11","23","16","23","14","23"
"227","miw4H3j5vBJvU3x-CPjtaA","12","20","12","20","12","20","12","20","12","21","11","21","11","21"
"228","-Yt1oOD4xufkz6lIjm_XCA",NA,"",NA,"",NA,"",NA,"","18","1","18","1","18","1"
"229","N8o5skUduHpr4QGFcAp8AQ","8","22","8","22","8","22","8","22","8","22","8","22","11","20"
"230","4THc7ojs6ppNHKhLl74www","16","21","16","21","16","21","16","21","16","21","11","21","11","21"
"231","6EwA03Jcw5VaPc8BNiwrpw","11","23","11","23","11","23","11","23","11","0","11","0","11","23"
"232","jvnuFNDtIxVDBrm2wIOiRA",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"233","_aGG6e3dWYrKyFNpdK_vpA","11","22","11","22","11","22","11","22","11","22","11","22",NA,""
"234","1eyv_Nm2KHOmGGb7je21Ug","10","23","10","0","10","23","10","23","10","0","10","0","10","23"
"235","EmJOkTKIwgm7QJbls7hN3w","11","21","11","21","11","21","11","21","11","22","11","22",NA,""
"236","QdzRS1s0tSltIokm2xV-kA",NA,"","11","22","11","22","11","22","11","22","11","22",NA,""
"237","DrQuKhjlSbamzC9F0lXOzQ",NA,"","10","21","10","21","10","21","10","21","10","21","10","21"
"238","DSEsFWzM3UCq54E2X0P9Zg","11","21","11","21","11","21","11","21","11","22","11","22","11","21"
"239","Fxdy2WZ6LAu_C5SPJpqApw","11","19","11","19","11","19","11","18",NA,"","9","18","11","16"
"240","SC1OR4VRY5chOZkDXvIGVw",NA,"","9","16","8","19","8","19","8","19","8","19",NA,""
"241","4XLSNVJcveUz2P8cck9OZA",NA,"","5","15","5","15","5","15","7","14","6","15",NA,""
"242","Lg7aBaURc2MiAhM4ZJldvQ",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"243","4SkIgjCMDmwW1J1JNj7d_A","10","19","10","19","10","19","10","19","10","19","10","15",NA,""
"244","ZkwdIVRaUpsxG6vNq1-0_A","11","21","11","21","11","21","11","21","11","23","11","23","11","21"
"245","2zDmhJcoHc1yQ7Vwgimk0g",NA,"","11","21","11","21","11","21","11","22","11","22","11","21"
"246","jLo_xMHMSWSOba9TEseFKA","10","22","10","22","10","22","10","22","10","23","10","23","10","22"
"247","5Vrg_1JXv0B6pvkdLVxvnw","11","0","11","0","11","0","11","0","11","0","11","0","11","23"
"248","-kcM672owPBvJzDqQ4My_Q",NA,"",NA,"","7","14","7","14","7","14","9","15","9","15"
"249","sc6MNZGtDcT4e8b3Jiod-g",NA,"",NA,"","11","19","11","19","11","19","11","19","11","19"
"250","a9dNRK9qulD59jwIHbzllA","11","21","11","21","11","21","11","21","11","21","11","21","11","21"
